ECLID	DESCRIPTION	QTY	SALES	COGS-GP	GP-PCT
16825	BPORT 664-DC2 1-1/4-IN 2SCR SEC CON	10	15.01	4.86	32.4
2306	BPORT LB-61 1/2-IN LB COND BODY	1	4.08	0.99	24.3
2307	BPORT LB-62 3/4-IN LB COND BODY	2	9.73	2.36	24.3
2308	BPORT LB-63 1-IN LB COND BODY	2	15.59	3.78	24.2
2326	BPORT T-62 3/4 MALL T COND BODY	1	6.59	1.60	24.3
2794	C-H BAB2100 100A 2P CB BOLT ON	1	131.14	21.67	16.5
2809	C-H BAB3100H 100A 3P CB BOLT ON	1	168.42	37.13	22.0
2813	C-H BD2020 20A 1P / 20A 1P DPLX CB	1	8.84	2.14	24.2
2847	C-H BR120 20A 1P PLUG ON CB	2	7.03	1.41	20.1
2994	C-H DG321NRB 30A 240V 4SN SW NEMA3R	1	73.17	17.74	24.2
2999	C-H DG324NGK 200A 240V 4SN SW NEMA1	1	299.75	72.67	24.2
3016	C-H DH363FGK 100A 600V 3P SW NEMA1	1	311.76	75.58	24.2
3073	C-H GBK10 10 CIRCUIT GRD BAR	12	97.66	26.38	27.0
3160	C-H QL1NPL LOCK DOG "BAB" LOCK OFF	1	8.48	2.29	27.0
3161	C-H QL1PL CB LOCK PADLOCKABLE	4	14.74	3.99	27.1
2484	CADDY 512 T-BAR BOX HANGER	6	32.03	6.41	20.0
2485	CADDY 512A ADJUSTABLE T-BAR HANGER	2	17.24	3.45	20.0
2486	CADDY 512HD HEAVY DUTY BOX HANGER	9	41.17	8.23	20.0
2492	CADDY 6TIB 3/8 ANGLE BRACKET SUPP	25	17.44	3.49	20.0
2551	CADDY MPLS DRYWALL BRACKET	46	58.75	11.75	20.0
2552	CADDY MPLS2 2G LV DRYWALL BRACKET	1	1.70	0.34	20.0
23207	CADDY PSF10C 10IN STRUT SUPPORT	10	165.98	33.19	20.0
21539	CADDY SGB16A SCREW GUN BRACKET	50	108.11	21.62	20.0
2668	CARLON S288JLN 2X3 BASE SPACER	26	27.91	6.78	24.3
2709	CAW S075 3/4-IN O/T HOLE SEAL	1	6.62	3.08	46.5
34688	CONDUIT 1-1/4 X 18-IN GALV NIPPLE	1	10.69	4.03	37.7
13505	CONDUIT 2-IN-GAL-15DEG-ELL	2	36.28	20.85	57.5
153	CONDUIT EMT 10FT 1-1/2-IN	20	20.92	3.20	15.3
206	CONDUIT EMT 10FT 1-1/4-IN	820	710.24	103.88	14.6
441	CONDUIT EMT 10FT 1-IN	3210	1,749.19	252.78	14.5
280	CONDUIT EMT 10FT 1/2-IN	1490	235.22	35.86	15.2
566	CONDUIT EMT 10FT 2-IN	560	729.63	108.79	14.9
